,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name
0,0.271,0.414,354320,0.404,4u7EnebtmKWzUH433cf5Qv,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224,Queen,354320,86,1975,1975-11-21,Bohemian Rhapsody - Remastered 2011
1,0.642,0.518,216533,0.401,28cnXtME493VX9NOw9cIUh,0.000185,9,0.118,-7.583,0,0.0284,92.148,4,0.171,Johnny Cash,216533,74,2002,2002-01-01,Hurt
2,0.00356,0.956,429533,0.795,1pKYYY0dkg23sQQXi0Q5zN,0.889,7,0.0906,-5.311,1,0.15,121.294,4,0.841,Daft Punk,429533,69,1997,1997-01-16,Around the World
3,0.0941,0.485,242373,0.619,3Fcfwhm8oRrBvBZ8KGhtea,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,4,0.416,Coldplay,242373,66,2008,2008-06-19,Viva La Vida
