,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name,chart_random
1196,0.41200000000000003,0.29,131733,0.568,0jjPYKq66QDiu9Ydl3Gumq,6.35e-06,2,0.596,-10.299000000000001,1,0.0385,138.893,4,0.532,The Everly Brothers,131733,32,1962,1962-06-01,Temptation,1
1197,0.682,0.528,138587,0.79,0uxu2GzsOMGNZ7C1ul84Mf,8.63e-06,10,0.129,-1.869,1,0.035,150.03799999999998,4,0.846,Del Shannon,138586,47,2007,2007-09-24,Runaway,1
1198,0.758,0.45399999999999996,112227,0.6659999999999999,5Qkixf9OjJp5a4XphaONKO,2.8899999999999998e-05,3,0.275,-8.193,1,0.0379,82.605,4,0.894,Elvis Presley,112226,41,2002,2002-09-24,Surrender,1
1199,0.904,0.546,236760,0.21899999999999997,1w1mIkARzun0p8UJbDuCw1,0.255,0,0.106,-15.474,0,0.0561,166.63299999999998,4,0.82,The Temperance Seven,236760,18,2004,2004-01-09,You're Driving Me Crazy,1
1200,0.29,0.573,127400,0.687,4QjrLPqpSYSlLV6mqELvVg,0.00385,9,0.122,-11.829,1,0.034,151.025,4,0.9620000000000001,Floyd Cramer,127400,24,1995,1995-01-01,On the Rebound,1
1201,0.9790000000000001,0.48100000000000004,136771,0.21600000000000003,2CghtwfbA6zkqfxRlSsSJG,0.0206,7,0.109,-21.57,1,0.039,125.402,4,0.8240000000000001,The Marcels,136771,42,2012,2012-01-01,Blue Moon,1
1202,0.8,0.647,121600,0.336,5QWQ9ChSbNDTSx1iZp961C,0.0,3,0.0719,-8.517000000000001,1,0.0645,164.25099999999998,4,0.905,Elvis Presley,121600,44,2002,2002-09-24,Wooden Heart,1
1203,0.752,0.624,139640,0.358,3NUXLtK8UGdD8TvZ12b4dD,0.0,1,0.0593,-13.199000000000002,1,0.0342,135.797,4,0.871,The Everly Brothers,139640,51,1962,1962-06-01,Walk Right Back,1
1204,0.873,0.413,173867,0.35200000000000004,4EjYLhvNcKQlIRcbwkJjVW,6.8e-05,10,0.25,-9.402000000000001,1,0.0255,98.572,3,0.489,Petula Clark,173866,0,1997,1997-01-01,Sailor,1
1205,0.9179999999999999,0.355,187027,0.0922,6vXZs9rEQF7Nd6O8Ue7NrT,0.0007019999999999999,7,0.106,-17.747,1,0.0515,65.952,3,0.191,Elvis Presley,187026,59,1963,1963-08-11,Are You Lonesome Tonight,1
1206,0.7190000000000001,0.48,150467,0.503,5noCUMzxbJIEBBcMFr2rpy,1.8e-05,8,0.121,-10.415,1,0.0317,138.256,4,0.858,Johnny Tillotson,150466,0,2011,2011-07-08,Poetry In Motion,1
1207,0.313,0.595,126173,0.28300000000000003,3ynUhytwnKVZ4wpP981UCt,0.0,9,0.361,-13.254000000000001,1,0.03,124.835,4,0.782,Cliff Richard & The Shadows,126173,10,2002,2002-08-12,I Love You - 2000 Remaster,1
1208,0.515,0.473,196107,0.606,35iHCJkvKHqUnZ0E2eeF5d,0.0692,4,0.13,-6.234,1,0.0326,125.977,4,0.604,Elvis Presley,196106,47,2015,2015-10-30,It's Now or Never,1
1209,0.377,0.57,145533,0.529,0PkBTqRtN25z3oKasWoKlj,0.00509,5,0.203,-10.769,1,0.027999999999999997,123.273,4,0.934,Roy Orbison,145533,61,1961,1961-01-01,Only the Lonely,1
1210,0.691,0.48,160099,0.251,2miOQLCDje9dYWoC372M9u,8.05e-06,10,0.139,-10.762,1,0.0335,116.715,4,0.5489999999999999,Ricky Valance,160099,25,2008,2008-08-11,Tell Laura I Love Her,1
1211,0.0106,0.595,174187,0.451,1aAxg5rWVFy6p94IWzO9pN,0.929,9,0.0962,-12.987,0,0.0288,133.673,4,0.779,The Shadows,174186,49,1998,1998-09-07,Apache,1
1212,0.188,0.767,141000,0.626,6gVonza2jBVEuQPRRR7N1b,1.0300000000000001e-05,9,0.327,-8.408,1,0.036000000000000004,125.23700000000001,4,0.715,Johnny Kidd & The Pirates,141000,30,2007,2007-09-24,Shakin' All Over,1
1213,0.519,0.635,179733,0.493,09OT7VIMwQ2FRmhBNtPuw0,0.0,2,0.341,-9.548,1,0.0293,144.80200000000002,4,0.884,Cliff Richard & The Shadows,179733,22,1977,1977-01-01,Please Don't Tease,1
1214,0.431,0.591,129693,0.617,1ddJDFNYRPrhrd1G29SJYl,1.1400000000000001e-05,7,0.0684,-6.327000000000001,0,0.14,144.844,4,0.961,Jimmy Jones,129693,15,2008,2008-01-01,Good Timin',1
1215,0.42700000000000005,0.6759999999999999,143680,0.35,6jNOhwRGhzU7hAUY6A61X2,0.0,10,0.0728,-12.958,1,0.032,131.572,4,0.9620000000000001,Eddie Cochran,143680,23,2007,2007-01-01,Three Steps To Heaven,1
1216,0.41200000000000003,0.498,144013,0.5820000000000001,1MA9StLzlFftLbuqOmoWij,0.0,7,0.37200000000000005,-8.961,1,0.0339,119.809,4,0.866,The Everly Brothers,144013,52,1962,1962-06-01,Cathy's Clown,1
1217,0.535,0.755,140147,0.297,6wqWHQHivICVciOa8NbbJ4,0.0,0,0.0949,-11.81,1,0.0368,122.99,4,0.8009999999999999,Anthony Newley,140146,0,2012,2012-01-01,Do You Mind?,1
1218,0.36700000000000005,0.573,199840,0.715,3UKUtkKDCRWgF88VpUU0n6,0.0,7,0.14800000000000002,-6.818,1,0.0853,125.973,4,0.815,Lonnie Donegan,199840,0,2011,2011-01-01,My Old Man's a Dustman,1
1219,0.8540000000000001,0.772,158200,0.297,1RYznli2VNO7FCbW1Hq4KM,7.59e-06,5,0.125,-14.679,0,0.053,119.98700000000001,4,0.8220000000000001,Johnny Preston,158200,41,2013,2013-09-01,Running Bear,1
1220,0.853,0.40299999999999997,106507,0.442,0fGo3c5nlQN3fPkN68CNZp,0.00057,0,0.35700000000000004,-8.437000000000001,0,0.0434,155.11700000000002,4,0.644,Adam Faith,106506,7,2008,2008-08-11,Poor Me,1
1221,0.42200000000000004,0.613,146973,0.36,7y8WEd5S5CtMKuDYBfhWEC,0.0,7,0.0676,-7.71,0,0.0339,100.887,4,0.344,Anthony Newley,146973,16,2006,2006-01-01,Why,1
1222,0.7190000000000001,0.626,143933,0.41100000000000003,1pqf8VPZXpZNKWBlCRnH7m,0.0036200000000000004,2,0.156,-12.092,1,0.0306,120.92299999999999,4,0.8059999999999999,michael holliday,143933,8,2011,2011-11-11,Starry Eyed,1
1223,0.23199999999999998,0.496,128573,0.71,2Pd7nI81XFF9hTuKppK5h3,0.0,7,0.0149,-6.975,1,0.0467,114.50299999999999,4,0.94,Emile Ford,128573,20,2013,2013-09-16,What Do You Want to Make Those Eyes at Me For ?,1
1224,0.846,0.544,98627,0.381,3JIxjvbbDrA9ztYlNcp3yL,0.0,5,0.256,-9.217,1,0.037000000000000005,147.041,4,0.8340000000000001,Adam Faith,98626,17,2011,2011-03-21,What Do You Want,1
1225,0.843,0.514,159373,0.18,3Sm5rf6XkURWcAFYd5p9NG,1.39e-05,2,0.11199999999999999,-14.222000000000001,1,0.0369,123.675,4,0.353,Cliff Richard,159373,16,1997,1997-01-01,Travellin' Light,1
1226,0.76,0.5489999999999999,184333,0.529,0YTgZJfVLmJ0b8XAMZKRKg,0.0,3,0.20600000000000002,-12.290999999999999,0,0.10800000000000001,82.755,4,0.46399999999999997,Bobby Darin,184333,58,2004,2004-11-23,Mack the Knife,1
1227,0.502,0.41700000000000004,127987,0.5589999999999999,69nsREo5gLCm4ylCUvqTDk,1.26e-06,1,0.257,-9.651,0,0.0501,83.228,4,0.733,Jerry Keller,127986,16,2010,2010-01-01,Here Comes Summer,1
1228,0.6990000000000001,0.701,133373,0.32,4N7IbIcNpD48oHO96VEILH,0.0,5,0.213,-16.099,1,0.0344,114.833,4,0.816,Craig Douglas,133373,25,2007,2007-01-01,Only Sixteen,1
1229,0.349,0.805,258265,0.531,7qnIMQOU9hUA2VBlvdQu25,0.0,1,0.461,-12.395999999999999,0,0.307,124.88799999999999,4,0.612,Cliff Richard,258265,19,2012,2012-07-09,Living Doll - feat. Hank Marvin,1
1230,0.715,0.526,150706,0.774,1KLpjQFgubHI3GkAICCNH3,0.0,5,0.43700000000000006,-1.692,1,0.0459,131.715,4,0.715,Bobby Darin,150706,62,2004,2004-11-23,Dream Lover,1
1231,0.445,0.451,114173,0.7340000000000001,0S7Bk54V1SavoNHDYNyOmn,0.937,2,0.0835,-9.28,1,0.0404,169.737,4,0.9670000000000001,Russ Conway,114173,6,2011,2011-09-01,Roulette,1
